full_name,html_url,pushed_at,updated_at,owner
cobeyw/Weemes_OUDSA5900,https://github.com/cobeyw/Weemes_OUDSA5900,2024-04-28T18:20:41Z,2024-04-28T18:20:44Z,cobeyw
community/Global-Campus-Teachers,https://github.com/community/Global-Campus-Teachers,2022-02-01T10:30:17Z,2025-12-31T12:55:13Z,community
ConnorBehnen/Behnen_OUDSA5900,https://github.com/ConnorBehnen/Behnen_OUDSA5900,2023-10-21T02:34:58Z,2023-09-02T02:25:11Z,ConnorBehnen
d-sanoj/doddapaneni_OUDSA5900,https://github.com/d-sanoj/doddapaneni_OUDSA5900,2023-04-23T06:17:04Z,2024-03-21T21:07:03Z,d-sanoj
daedalus404/PracticumFall2023,https://github.com/daedalus404/PracticumFall2023,2023-09-06T17:21:44Z,2023-09-06T17:21:44Z,daedalus404
Daniel-Carpenter/DSA-Practicum,https://github.com/Daniel-Carpenter/DSA-Practicum,2023-10-20T19:40:09Z,2023-07-21T20:39:07Z,Daniel-Carpenter
DanielTAdd/Prediction_of_Petrophysical_Properties_5900,https://github.com/DanielTAdd/Prediction_of_Petrophysical_Properties_5900,2023-04-11T03:30:29Z,2023-01-07T06:22:24Z,DanielTAdd
Deepthiy196/yekkanti_OUDSA5900,https://github.com/Deepthiy196/yekkanti_OUDSA5900,2024-10-12T00:14:23Z,2024-10-12T00:14:26Z,Deepthiy196
Dervishan/DSA-5900-Comparison-of-ML-and-QML-models-and-their-validations-on-medical-dataset,https://github.com/Dervishan/DSA-5900-Comparison-of-ML-and-QML-models-and-their-validations-on-medical-dataset,2025-12-03T06:05:05Z,2025-12-03T06:05:09Z,Dervishan
diegoou8/HERNANDEZ_OUDSA5900,https://github.com/diegoou8/HERNANDEZ_OUDSA5900,2024-01-23T21:36:52Z,2024-01-23T21:36:55Z,diegoou8
DuchaHapsari/Hapsari_OUDSA5900,https://github.com/DuchaHapsari/Hapsari_OUDSA5900,2022-06-21T05:01:51Z,2022-06-03T03:12:01Z,DuchaHapsari
dywang0323/DSA_5900,https://github.com/dywang0323/DSA_5900,2024-05-26T21:00:50Z,2024-05-26T21:00:53Z,dywang0323
edh108/hernandez_OUDSA5900,https://github.com/edh108/hernandez_OUDSA5900,2021-04-22T04:40:12Z,2021-04-22T04:40:14Z,edh108
ElahehJafarigol/Election-prediction-LLM,https://github.com/ElahehJafarigol/Election-prediction-LLM,2025-08-10T21:29:09Z,2025-08-10T21:29:13Z,ElahehJafarigol
ElahehJafarigol/Federated-Machine-Learning-in-Predictive-Maintenance-of-Jet-Engines,https://github.com/ElahehJafarigol/Federated-Machine-Learning-in-Predictive-Maintenance-of-Jet-Engines,2024-08-04T19:39:26Z,2025-04-24T18:56:06Z,ElahehJafarigol
enavarrete7/Navarrete_OUDSA5900,https://github.com/enavarrete7/Navarrete_OUDSA5900,2021-08-05T20:46:58Z,2021-08-05T20:47:00Z,enavarrete7
ESB1997/Baker_OUDSA5900,https://github.com/ESB1997/Baker_OUDSA5900,2022-12-06T03:48:14Z,2022-12-02T23:07:50Z,ESB1997
estebanud17/Ugarte_DSA5900,https://github.com/estebanud17/Ugarte_DSA5900,2022-05-20T18:33:49Z,2022-05-20T18:33:52Z,estebanud17
esthernevener/Nevener_OUDSA5900,https://github.com/esthernevener/Nevener_OUDSA5900,2022-05-01T18:01:51Z,2022-05-01T18:01:54Z,esthernevener
estrickler1/Strickler_Ethan_OUDSA5900,https://github.com/estrickler1/Strickler_Ethan_OUDSA5900,2024-04-26T04:56:29Z,2024-04-26T04:56:32Z,estrickler1
evanprice-ou-dsa/Price_OUDSA5900,https://github.com/evanprice-ou-dsa/Price_OUDSA5900,2025-11-27T19:58:43Z,2025-11-27T19:58:47Z,evanprice-ou-dsa
farabee738/islam_OUDSA5900,https://github.com/farabee738/islam_OUDSA5900,2025-10-09T18:37:09Z,2025-10-09T18:37:13Z,farabee738
FrancisOyebanji/oyebanji_OUDSA5900,https://github.com/FrancisOyebanji/oyebanji_OUDSA5900,2022-06-21T04:05:20Z,2022-06-21T04:00:47Z,FrancisOyebanji
Gowthami-Chikka/Chikka-_OUDSA5900,https://github.com/Gowthami-Chikka/Chikka-_OUDSA5900,2024-08-19T20:24:24Z,2024-08-19T20:24:27Z,Gowthami-Chikka
gunash-Khn/Khankishiyeva_OUDSA5900,https://github.com/gunash-Khn/Khankishiyeva_OUDSA5900,2024-11-29T17:26:41Z,2024-11-29T17:26:44Z,gunash-Khn
haixiaolu/FAA-Pliot-License-Renewal-Forecasting,https://github.com/haixiaolu/FAA-Pliot-License-Renewal-Forecasting,2022-01-04T04:47:03Z,2022-01-04T04:53:38Z,haixiaolu
hanna-hart/Hart_OUDSA5900,https://github.com/hanna-hart/Hart_OUDSA5900,2023-01-24T18:30:40Z,2023-01-24T18:30:39Z,hanna-hart
hariappi/Federated_Learning_WESAD,https://github.com/hariappi/Federated_Learning_WESAD,2022-10-07T16:32:13Z,2022-07-24T21:34:53Z,hariappi
harikavengala-1/Vengala_OUDSA5900,https://github.com/harikavengala-1/Vengala_OUDSA5900,2024-11-28T23:13:11Z,2024-11-28T23:13:14Z,harikavengala-1
Hoov6299/Hoover_OUDSA5900,https://github.com/Hoov6299/Hoover_OUDSA5900,2023-12-02T22:21:18Z,2023-09-12T22:43:40Z,Hoov6299
HotelTango314/dsa5900,https://github.com/HotelTango314/dsa5900,2023-07-20T18:18:46Z,2023-08-01T13:00:00Z,HotelTango314
iamchinedu/Nwosu_OUDSA5900,https://github.com/iamchinedu/Nwosu_OUDSA5900,2022-05-24T00:20:16Z,2022-05-24T00:20:18Z,iamchinedu
Issa03112009/Haddad_OUDSA5900,https://github.com/Issa03112009/Haddad_OUDSA5900,2022-05-25T00:45:42Z,2022-05-25T00:45:41Z,Issa03112009
jackappleyard/appleyard_OUDSA5900,https://github.com/jackappleyard/appleyard_OUDSA5900,2021-03-18T04:15:19Z,2021-03-18T04:18:33Z,jackappleyard
Jacob-Unterbrink/Unterbrink_OUDSA5900,https://github.com/Jacob-Unterbrink/Unterbrink_OUDSA5900,2023-04-30T03:29:41Z,2023-04-30T03:06:34Z,Jacob-Unterbrink
jacostam1/Acosta_OUDSA5900,https://github.com/jacostam1/Acosta_OUDSA5900,2021-07-13T05:23:05Z,2021-07-13T05:23:07Z,jacostam1
jakelcoop/COOPER__OUDSA5900,https://github.com/jakelcoop/COOPER__OUDSA5900,2023-07-27T13:06:22Z,2023-05-19T15:04:46Z,jakelcoop
